0.091922, 0.089059, 0.117839, 0.083365, 0.097701, 0.091975, 0.109212, 0.112051, 0.089073, 0.117804
0.113829, 0.122011, 0.073107, 0.089422, 0.100292, 0.111128, 0.105683, 0.111142, 0.105731, 0.067655
0.110728, 0.098472, 0.107699, 0.095365, 0.110789, 0.083052, 0.095388, 0.110810, 0.126158, 0.061539
0.094768, 0.110171, 0.097914, 0.094754, 0.085555, 0.122383, 0.100924, 0.094755, 0.113168, 0.085609
0.114162, 0.089344, 0.081877, 0.104218, 0.104222, 0.104229, 0.084360, 0.129032, 0.074425, 0.114132
0.114816, 0.111815, 0.105699, 0.090634, 0.090607, 0.102742, 0.093688, 0.063396, 0.111813, 0.114791
0.103475, 0.084639, 0.097134, 0.100322, 0.093925, 0.119104, 0.106587, 0.100376, 0.103489, 0.090949
0.136960, 0.071221, 0.090415, 0.112300, 0.123323, 0.109622, 0.109575, 0.084958, 0.112327, 0.049300
0.097443, 0.103147, 0.071645, 0.114613, 0.103130, 0.100283, 0.100297, 0.083114, 0.097369, 0.128959
0.125036, 0.076669, 0.062503, 0.113612, 0.099450, 0.113604, 0.110804, 0.113636, 0.107961, 0.076725
0.128921, 0.110563, 0.094765, 0.094682, 0.097352, 0.086826, 0.102661, 0.086864, 0.118387, 0.078980
0.133993, 0.101103, 0.092227, 0.074455, 0.074442, 0.092234, 0.139884, 0.077464, 0.104142, 0.110056
0.083575, 0.130910, 0.080793, 0.072428, 0.103073, 0.116956, 0.105860, 0.125374, 0.091917, 0.089114
0.116420, 0.107297, 0.073039, 0.070772, 0.120986, 0.095928, 0.102732, 0.098196, 0.091353, 0.123278
0.111694, 0.109145, 0.071047, 0.083746, 0.109114, 0.104102, 0.101514, 0.106583, 0.109160, 0.093895
0.132782, 0.104884, 0.077141, 0.098709, 0.104941, 0.108096, 0.154376, 0.074021, 0.080229, 0.064822
0.129080, 0.099059, 0.114057, 0.099097, 0.138129, 0.084112, 0.084111, 0.063118, 0.102158, 0.087079
0.104785, 0.088907, 0.111167, 0.092014, 0.079403, 0.104774, 0.123734, 0.095191, 0.095231, 0.104793
0.115182, 0.092715, 0.103937, 0.101107, 0.089891, 0.095536, 0.098287, 0.081440, 0.115156, 0.106750
0.123059, 0.083075, 0.110755, 0.104636, 0.064639, 0.104603, 0.089217, 0.104630, 0.120012, 0.095376
0.110184, 0.059340, 0.104474, 0.127052, 0.084727, 0.104528, 0.104557, 0.115888, 0.118622, 0.070627
0.129367, 0.106913, 0.094587, 0.087051, 0.106934, 0.084576, 0.097022, 0.099503, 0.101969, 0.092077
0.106339, 0.086053, 0.091116, 0.081021, 0.134156, 0.113954, 0.088649, 0.116416, 0.091138, 0.091157
0.116287, 0.101726, 0.084333, 0.093014, 0.104649, 0.090093, 0.104651, 0.107551, 0.104678, 0.093017
0.105095, 0.102451, 0.110532, 0.088977, 0.078193, 0.088966, 0.080802, 0.110543, 0.142794, 0.091645
0.103538, 0.127297, 0.103517, 0.073956, 0.106539, 0.106490, 0.106501, 0.079874, 0.091693, 0.100595
0.113809, 0.092138, 0.116498, 0.100240, 0.094850, 0.094857, 0.086709, 0.081318, 0.094872, 0.124709
0.113381, 0.131454, 0.082469, 0.105656, 0.095380, 0.105670, 0.090209, 0.072159, 0.095380, 0.108241
0.117675, 0.123839, 0.092830, 0.086712, 0.111478, 0.105261, 0.099045, 0.089809, 0.092844, 0.080506
0.094560, 0.114592, 0.083088, 0.088815, 0.097433, 0.103194, 0.103127, 0.114612, 0.083084, 0.117497
0.116784, 0.082645, 0.128170, 0.091171, 0.088326, 0.082628, 0.082636, 0.128210, 0.094011, 0.105420
0.109708, 0.087296, 0.099760, 0.114699, 0.102246, 0.094768, 0.089769, 0.097271, 0.122186, 0.082296
0.094003, 0.128201, 0.091171, 0.128190, 0.094037, 0.105446, 0.091162, 0.085434, 0.091213, 0.091144
